Price,Ticker,mean_return,volatility,cumulative_return,sharpe_ratio,sortino_ratio,max_drawdown,var_95,beta,liquidity,hierarchical_cluster,gmm_cluster,dbscan_cluster
Close,BALL,-0.5182192718902028,-0.49351094971561543,-0.39210818172806416,-1.612257191045929,-1.1074214470087989,0.2549754658450044,0.5283658751487419,-0.4679038205059969,-0.11542100335225952,3,0,0
Close,BAX,-0.5017306903785904,-0.48010496716386153,-0.7290082107636775,-1.1172614882646588,-0.9359081600045932,-0.2519916615263217,0.4766739855761762,-0.47099650755648204,-0.11542126122993589,8,6,0
Close,BBY,-0.48367925719701116,-0.46780039239802607,-0.33243250906337857,-0.7010924637867009,-0.6652521779720159,0.36609732901432696,0.4921833198912652,-0.45939377284600413,-0.11541996928264255,3,6,0
Close,BDX,-0.4837494481140603,-0.5102366489160166,-0.47249998722509945,-0.6193794620641637,-0.6746377793805932,1.3893068292560204,0.5366125993217489,-0.45223634636405197,-0.11540539612910534,3,6,0
Close,BEN,-0.49372276111315727,-0.46435636828695953,-0.6610518751968978,-0.9115439776915099,-0.8102746807920473,-0.021971830818158754,0.4841489804225075,-0.437241667669242,-0.11542470892850051,3,6,0
Close,BF-B,-0.5416541424151781,-0.47807891573681344,-0.6809204105781572,-2.0207915331395285,-1.5039916514608953,0.05310557139132289,0.47235551501157585,-0.47662678402716185,-0.1154214750840851,3,0,0
Close,BG,-0.5691334662684755,-0.4847549682917293,-0.44605200353593916,-2.841520670945901,-1.7001134671667573,0.014362358832060483,0.49481057777574977,-0.4711222527636178,-0.11542011186205776,3,0,0
Close,BIIB,-0.5755638074746647,-0.49186224134115414,-0.7636726307771776,-3.1979003098401937,-1.9771564438147042,-0.23604481496021887,0.4728295724708996,-0.4644294098736933,-0.11540219938513302,3,0,0
Close,BK,-0.41732703327163506,-0.5020046232112565,-0.18065679948229646,1.4649916389236433,0.9297500752488136,0.45986790270650774,0.5611261497611321,-0.45803463770952996,-0.1154226651573274,0,2,0
Close,BKNG,-0.4487942858071648,-0.4834081368647885,0.12164808632905726,0.17268210737830825,-0.3130318935404417,0.5811083738144786,0.4772969536320429,-0.48004767411231775,-0.11520220366176614,2,2,0
Close,BKR,-0.4284948029244716,-0.471330302604836,-0.258731595942515,0.493980411464764,0.08336185660504537,-0.5558421897142063,0.4577337951548287,-0.4595652086783845,-0.1154245230449121,0,8,0
Close,BLDR,-0.4571865013323112,-0.44056610637975535,1.723745707782327,-0.31261538079362844,-0.42065092285677,-0.06219435611754718,0.41338606317515897,-0.4640011800194227,-0.11542052659033784,2,8,0
Close,BLK,-0.4449267203067227,-0.502615670635376,-0.04092632860912274,0.5973158890529954,-0.005176041755639932,0.753477036736996,0.5274821484856486,-0.46976983363521657,-0.11536968166739282,0,2,0
Close,BMY,-0.41711300237090393,-0.472548201135032,-0.4741936314790242,0.6924793324951369,0.554688471202873,0.5856838358174098,0.4955043386537679,-0.46890946339416006,-0.11542199765112132,0,2,0
Close,BR,-0.45570023326848436,-0.5088314080612267,0.20362811056875713,0.4392906402312123,-0.0007584881058006233,1.066408682223096,0.5546957543987847,-0.48020856165293185,-0.11541353916168312,0,2,0
Close,BRK-B,-0.46303513314251005,-0.5138596258691663,-0.01673526849771433,0.2529717285424413,-0.1270890396731014,1.3920817040987985,0.5416096290751335,-0.45933857262321104,-0.115400530462803,0,2,0
Close,BRO,-0.4550809369969971,-0.5065939761726425,0.7804685879256722,0.39568886511435764,-0.02839433639375152,1.1619288243736763,0.5179244222677624,-0.477188112333266,-0.11542182886171845,2,2,0
Close,BSX,-0.4298926682355858,-0.5117188724681428,0.6516202837017525,1.4586760861624275,0.4586195354311256,0.7717514335705024,0.5568230380840825,-0.4890310077393762,-0.11542252352955998,0,2,0
Close,BWA,-0.49364383384710836,-0.4719640852911506,-0.6455267136993054,-0.9180929804301745,-0.8245421735804551,-0.1684332630423791,0.46828236485348235,-0.4471340448236318,-0.1154236511456808,3,6,0
Close,BX,-0.4211192118886846,-0.4699272018325576,1.732489486044746,0.6946610067563312,0.11122174069226919,0.5135543152992922,0.46911123454452475,-0.4808885201968931,-0.11541970418531387,2,8,0
Close,BXP,-0.44840441922629937,-0.4755926928918406,-0.6339627891452924,0.08397713581135559,-0.28658531624265887,-0.12399161107650013,0.4688661938289252,-0.4780498642897301,-0.11541932767116608,0,8,0
Close,C,-0.4387576192817216,-0.4702915517873807,-0.39105987154110305,0.29280619712612904,-0.07607348553632341,0.1917756471769603,0.49418769015914066,-0.44711029377309824,-0.11542197621515131,0,2,0
Close,CAG,-0.5061330583961166,-0.4942712830477657,-0.6012900137807734,-1.2997842527220627,-0.9881854541654745,0.6676253499064773,0.49792916243271895,-0.4713121641506079,-0.11542423401832054,3,6,0
Close,CAH,-0.43673052315082767,-0.49964896513119916,0.029587257731547748,0.8227491480756506,0.21652013604153023,0.862880804105124,0.5269149469713639,-0.47190958468559774,-0.11542103149394098,0,2,0
Close,CAT,-0.46608504225844943,-0.4757359162908076,0.10875938629886914,-0.28363413600668713,-0.4067760417851448,0.7776644738375409,0.4794738424386956,-0.4477319438904419,-0.11540862999804068,3,6,0
Close,CB,-0.4760721177577423,-0.5094419544548913,-0.10450841784074803,-0.3102167593959381,-0.48845364165342303,0.8118502573683862,0.5389042432569706,-0.47419517258648347,-0.11541077780775644,3,6,0
Close,CBOE,-0.44748398006848333,-0.49816009047481685,-0.20666575082083846,0.4908005144375604,0.06221673640535263,0.8119716313792458,0.5371594276409773,-0.49412263292063685,-0.1154153839296896,0,2,0
Close,CBRE,-0.39841228542466856,-0.47513818465133284,0.30908296356701664,1.2625171022731394,0.693071545401501,0.3225814918699356,0.5293549140099311,-0.47691759528604344,-0.11542009275435172,0,2,0
Close,CCI,-0.49683297555317685,-0.49597011930666757,-0.5099640617943063,-1.0247550009558253,-0.8777218707027389,0.23769710761243174,0.4998886081762425,-0.4819431604096614,-0.11541592591925921,3,6,0
Close,CCL,-0.4050341922080117,-0.4375216667648738,-0.7589833797100616,0.559975347558076,0.179529349404867,-1.3168719112767229,0.42671181466770647,-0.41496623931085286,-0.11542426928321159,0,8,0
Close,CDNS,-0.4925536816808401,-0.43810583919101476,1.7729111316681918,-0.8844508118595419,-0.7989306332486108,1.2785892475430205,0.3865162393535478,-0.49134848175161994,-0.11541301391039466,2,8,0
