Date,AAPL,ADBE,AMZN,GOOGL,META,MSFT,NFLX,NVDA,TSLA,^GSPC
2023-02-10,149.6666717529297,370.989990234375,97.61000061035156,94.2284164428711,173.48727416992188,258.85198974609375,347.3599853515625,21.24954605102539,196.88999938964844,4090.4599609375
2023-02-13,152.48143005371094,375.0,99.54000091552734,94.26827239990234,178.74720764160156,266.939208984375,358.57000732421875,21.77216339111328,194.63999938964844,4137.2900390625
2023-02-14,151.83718872070312,377.8999938964844,99.69999694824219,94.33802032470703,178.7969970703125,267.77557373046875,359.9599914550781,22.954303741455078,209.25,4136.1298828125
2023-02-15,153.94825744628906,375.94000244140625,101.16000366210938,96.58985137939453,176.48582458496094,265.6352233886719,361.4200134277344,22.747453689575195,214.24000549316406,4147.60009765625
2023-02-16,152.34268188476562,365.1600036621094,98.1500015258789,95.1650161743164,171.78379821777344,258.5633239746094,350.7099914550781,21.986007690429688,202.0399932861328,4090.409912109375
2023-02-17,151.19297790527344,356.8500061035156,97.19999694824219,94.00920867919922,172.22213745117188,254.52928161621094,347.9599914550781,21.372453689575195,208.30999755859375,4079.090087890625
2023-02-21,147.15919494628906,346.70001220703125,94.58000183105469,91.45845794677734,171.4251708984375,249.21299743652344,337.5,20.63998794555664,197.3699951171875,3997.340087890625
2023-02-22,147.58535766601562,348.7200012207031,95.79000091552734,91.31896209716797,170.4688262939453,248.06886291503906,334.8800048828125,20.738916397094727,200.86000061035156,3991.050048828125
2023-02-23,148.0709991455078,347.0199890136719,95.81999969482422,90.56170654296875,171.38531494140625,251.28427124023438,323.6499938964844,23.64679718017578,202.07000732421875,4012.320068359375
2023-02-24,145.40493774414062,320.5400085449219,93.5,88.80805969238281,169.74160766601562,245.8102264404297,317.1499938964844,23.26907730102539,196.8800048828125,3970.0400390625
2023-02-27,146.60415649414062,322.32000732421875,93.76000213623047,89.54539489746094,168.89483642578125,246.7373504638672,323.0299987792969,23.483917236328125,207.6300048828125,3982.239990234375
2023-02-28,146.0987091064453,323.95001220703125,94.2300033569336,89.73470306396484,174.2742919921875,246.00746154785156,322.1300048828125,23.199125289916992,205.7100067138672,3970.14990234375
2023-03-01,144.01739501953125,323.3800048828125,92.16999816894531,90.03362274169922,172.76007080078125,242.90057373046875,313.4800109863281,22.681501388549805,202.77000427246094,3951.389892578125
2023-03-02,144.61204528808594,333.5,92.12999725341797,91.6677017211914,173.8658447265625,247.67434692382812,311.8800048828125,23.297056198120117,190.89999389648438,3981.35009765625
2023-03-03,149.68650817871094,344.0400085449219,94.9000015258789,93.31173706054688,184.5450439453125,251.79713439941406,315.17999267578125,23.872636795043945,197.7899932861328,4045.639892578125
2023-03-06,152.4616241455078,347.0199890136719,93.75,94.78638458251953,184.19638061523438,253.35552978515625,312.0299987792969,23.536882400512695,193.80999755859375,4048.419921875
2023-03-07,150.25146484375,344.79998779296875,93.55000305175781,93.5209732055664,183.80787658691406,250.67274475097656,308.4700012207031,23.275026321411133,187.7100067138672,3986.3701171875
2023-03-08,151.51014709472656,345.8399963378906,93.91999816894531,93.9095687866211,184.26611328125,250.22889709472656,311.7900085449219,24.167530059814453,182.0,3992.010009765625
2023-03-09,149.2504119873047,338.3699951171875,92.25,91.98654174804688,180.99859619140625,248.8677978515625,297.7799987792969,23.422943115234375,172.9199981689453,3918.320068359375
2023-03-10,147.17901611328125,329.29998779296875,90.7300033569336,90.30264282226562,178.82688903808594,245.18882751464844,292.760009765625,22.952205657958984,173.44000244140625,3861.590087890625
2023-03-13,149.13150024414062,324.2699890136719,92.43000030517578,90.78091430664062,180.21160888671875,250.44590759277344,293.510009765625,22.953205108642578,174.47999572753906,3855.760009765625
2023-03-14,151.2326202392578,333.3299865722656,94.87999725341797,93.63058471679688,193.2816619873047,257.221923828125,294.94000244140625,24.049592971801758,183.25999450683594,3919.2900390625
2023-03-15,151.62908935546875,333.6099853515625,96.19999694824219,95.76285552978516,196.9974822998047,261.80828857421875,303.7900085449219,24.214502334594727,180.4499969482422,3891.929931640625
2023-03-16,154.463623046875,353.2900085449219,100.04000091552734,99.9576416015625,204.15013122558594,272.4211120605469,310.05999755859375,25.526769638061523,184.1300048828125,3960.280029296875
2023-03-17,153.62120056152344,358.1400146484375,98.94999694824219,101.2529525756836,194.86563110351562,275.60687255859375,303.5,25.710668563842773,180.1300048828125,3916.639892578125
2023-03-20,155.99984741210938,362.8800048828125,97.70999908447266,100.85440063476562,197.05726623535156,268.5054016113281,305.1300048828125,25.885570526123047,183.25,3951.570068359375
2023-03-21,157.86312866210938,374.2200012207031,100.61000061035156,104.54103088378906,201.3907012939453,270.0342102050781,305.7900085449219,26.184404373168945,197.5800018310547,4002.8701171875
2023-03-22,156.42601013183594,361.7099914550781,98.69999694824219,102.99662780761719,199.0496368408203,268.5645446777344,293.8999938964844,26.45325469970703,191.14999389648438,3936.969970703125
2023-03-23,157.51622009277344,369.0,98.70999908447266,105.21857452392578,203.5026397705078,273.861083984375,320.3699951171875,27.175851821899414,192.22000122070312,3948.719970703125
2023-03-24,158.82447814941406,374.9599914550781,98.12999725341797,105.05915832519531,205.2260284423828,276.7312316894531,328.3900146484375,26.764080047607422,190.41000366210938,3970.989990234375
2023-03-27,156.87200927734375,373.1499938964844,98.04000091552734,102.08991241455078,202.068115234375,272.59857177734375,327.6600036621094,26.516220092773438,191.80999755859375,3977.530029296875
2023-03-28,156.2476043701172,373.3999938964844,97.23999786376953,100.66508483886719,199.9163360595703,271.4643859863281,323.5199890136719,26.395286560058594,189.19000244140625,3971.27001953125
